n,m_type,m_count,time_A,time_B
1,n2_div_10,1,3.7e-06,5e-07
101,n2_div_10,1020,5.19e-05,6.59e-05
201,n2_div_10,4040,0.0001285,0.0002392
301,n2_div_10,9060,0.0002405,0.0005455
401,n2_div_10,16080,0.0003613,0.000958
501,n2_div_10,25100,0.0005488,0.0014965
601,n2_div_10,36120,0.0007078,0.0028681
701,n2_div_10,49140,0.0009121,0.003761
801,n2_div_10,64160,0.0011232,0.0043687
901,n2_div_10,81180,0.0014385,0.0055977
1001,n2_div_10,100200,0.0017138,0.0063823
1101,n2_div_10,121220,0.0022577,0.0091199
1201,n2_div_10,144240,0.0023757,0.010598
1301,n2_div_10,169260,0.0027586,0.0126618
1401,n2_div_10,196280,0.003374,0.0130905
1501,n2_div_10,225300,0.0035149,0.0166552
1601,n2_div_10,256320,0.0040059,0.0170677
1701,n2_div_10,289340,0.0043757,0.01905
1801,n2_div_10,324360,0.0047932,0.0215033
1901,n2_div_10,361380,0.0053112,0.0233685
2001,n2_div_10,400400,0.0056322,0.0302647
2101,n2_div_10,441420,0.0061727,0.0293687
2201,n2_div_10,484440,0.0063574,0.0330379
2301,n2_div_10,529460,0.0071027,0.0355667
2401,n2_div_10,576480,0.0075974,0.0414158
2501,n2_div_10,625500,0.0080619,0.0420006
2601,n2_div_10,676520,0.0087947,0.047077
2701,n2_div_10,729540,0.0094624,0.053561
2801,n2_div_10,784560,0.0100537,0.0550477
2901,n2_div_10,841580,0.010704,0.0600762
3001,n2_div_10,900600,0.0113994,0.0628161
3101,n2_div_10,961620,0.0122481,0.0684493
3201,n2_div_10,1024640,0.0127992,0.0693069
3301,n2_div_10,1089660,0.0142893,0.0805402
3401,n2_div_10,1156680,0.0148152,0.0832515
3501,n2_div_10,1225700,0.0155834,0.0901443
3601,n2_div_10,1296720,0.0159447,0.0940172
3701,n2_div_10,1369740,0.0164341,0.0948291
3801,n2_div_10,1444760,0.0211693,0.125441
3901,n2_div_10,1521780,0.0206018,0.118238
4001,n2_div_10,1600800,0.0248465,0.122574
4101,n2_div_10,1681820,0.0225405,0.136081
4201,n2_div_10,1764840,0.0246509,0.143449
4301,n2_div_10,1849860,0.0348964,0.140996
4401,n2_div_10,1936880,0.0271238,0.160184
4501,n2_div_10,2025900,0.0266459,0.163272
4601,n2_div_10,2116920,0.0294954,0.176276
4701,n2_div_10,2209940,0.0325735,0.180015
4801,n2_div_10,2304960,0.0286999,0.178307
4901,n2_div_10,2401980,0.0468738,0.199171
5001,n2_div_10,2501000,0.0319335,0.221136
5101,n2_div_10,2602020,0.0357142,0.210284
5201,n2_div_10,2705040,0.0412076,0.230313
5301,n2_div_10,2810060,0.036078,0.230101
5401,n2_div_10,2917080,0.0379182,0.243074
5501,n2_div_10,3026100,0.0498571,0.282348
5601,n2_div_10,3137120,0.0417545,0.278279
5701,n2_div_10,3250140,0.0576555,0.29202
5801,n2_div_10,3365160,0.0539639,0.344059
5901,n2_div_10,3482180,0.0562647,0.323125
6001,n2_div_10,3601200,0.0520913,0.299168
6101,n2_div_10,3722220,0.0512566,0.374477
6201,n2_div_10,3845240,0.0580895,0.346874
6301,n2_div_10,3970260,0.0546757,0.378576
6401,n2_div_10,4097280,0.0554902,0.362425
6501,n2_div_10,4226300,0.0565611,0.386755
6601,n2_div_10,4357320,0.0637329,0.403126
6701,n2_div_10,4490340,0.0628909,0.405916
6801,n2_div_10,4625360,0.423293,0.776545
6901,n2_div_10,4762380,0.0539899,0.352863
7001,n2_div_10,4901400,0.0571804,0.352023
7101,n2_div_10,5042420,0.0624451,0.410714
7201,n2_div_10,5185440,0.0698109,0.42749
7301,n2_div_10,5330460,0.0786976,0.449859
7401,n2_div_10,5477480,0.0807894,0.505304
7501,n2_div_10,5626500,0.0650375,0.424187
7601,n2_div_10,5777520,0.0669938,0.429647
7701,n2_div_10,5930540,0.0682524,0.440174
7801,n2_div_10,6085560,0.0712208,0.444427
7901,n2_div_10,6242580,0.0718242,0.461054
8001,n2_div_10,6401600,0.0733889,0.471836
8101,n2_div_10,6562620,0.0749517,0.485235
8201,n2_div_10,6725640,0.0775964,0.500449
8301,n2_div_10,6890660,0.078763,0.509007
8401,n2_div_10,7057680,0.08027,0.519667
8501,n2_div_10,7226700,0.0828141,0.534938
8601,n2_div_10,7397720,0.086092,0.547604
8701,n2_div_10,7570740,0.08629,0.557951
8801,n2_div_10,7745760,0.0879345,0.571295
8901,n2_div_10,7922780,0.0906279,0.586819
9001,n2_div_10,8101800,0.0918413,0.596424
9101,n2_div_10,8282820,0.0917366,0.596614
9201,n2_div_10,8465840,0.0936631,0.611941
9301,n2_div_10,8650860,0.0962553,0.623175
9401,n2_div_10,8837880,0.0986444,0.634316
9501,n2_div_10,9026900,0.0992705,0.646848
9601,n2_div_10,9217920,0.102438,0.659973
9701,n2_div_10,9410940,0.104703,0.684392
9801,n2_div_10,9605960,0.10672,0.70527
9901,n2_div_10,9802980,0.108564,0.713496
10001,n2_div_10,10002000,0.110801,0.730156
