n,m_type,m_count,time_A,time_B
1,n2,0,1.8e-06,3e-07
101,n2,10100,0.0001604,0.0001637
201,n2,40200,0.0005274,0.0006383
301,n2,90300,0.0011042,0.001465
401,n2,160400,0.0025869,0.0026798
501,n2,250500,0.0028565,0.0043618
601,n2,360600,0.0040734,0.0061291
701,n2,490700,0.0058934,0.0104648
801,n2,640800,0.007203,0.0134292
901,n2,810900,0.008849,0.0150571
1001,n2,1001000,0.0109399,0.0190627
1101,n2,1211100,0.0130627,0.0230294
1201,n2,1441200,0.0154755,0.0282666
1301,n2,1691300,0.0182023,0.0319905
1401,n2,1961400,0.0209364,0.0364515
1501,n2,2251500,0.0238421,0.0392653
1601,n2,2561600,0.0269495,0.0439097
1701,n2,2891700,0.0302222,0.0490474
1801,n2,3241800,0.0332434,0.0556017
1901,n2,3611900,0.0376909,0.0629878
2001,n2,4002000,0.0409525,0.068932
2101,n2,4412100,0.0451924,0.0766497
2201,n2,4842200,0.0494461,0.0839167
2301,n2,5292300,0.0540131,0.0927778
2401,n2,5762400,0.0588046,0.100631
2501,n2,6252500,0.0638942,0.11045
2601,n2,6762600,0.0689899,0.122204
2701,n2,7292700,0.0742624,0.131529
2801,n2,7842800,0.0801062,0.145039
2901,n2,8412900,0.0867307,0.156317
3001,n2,9003000,0.0939894,0.169258
3101,n2,9613100,0.101513,0.176869
3201,n2,10243200,0.107587,0.230267
3301,n2,10893300,0.114336,0.203751
3401,n2,11563400,0.120942,0.21346
3501,n2,12253500,0.154415,0.228627
3601,n2,12963600,0.135324,0.258375
3701,n2,13693700,0.212427,0.347862
3801,n2,14443800,0.183906,0.309205
3901,n2,15213900,0.174394,0.327522
4001,n2,16004000,0.185428,0.333958
4101,n2,16814100,0.205098,0.401879
4201,n2,17644200,0.21394,0.364287
4301,n2,18494300,0.215989,0.412717
4401,n2,19364400,0.217736,0.400222
4501,n2,20254500,0.245929,0.427803
4601,n2,21164600,0.240643,0.430111
4701,n2,22094700,0.248525,0.441782
4801,n2,23044800,0.268759,0.461365
4901,n2,24014900,0.307365,0.498729
5001,n2,25005000,0.289345,0.509352
5101,n2,26015100,0.292784,0.542102
5201,n2,27045200,0.315283,0.560901
5301,n2,28095300,0.321115,0.603383
5401,n2,29165400,0.339945,0.600341
5501,n2,30255500,0.35249,0.616283
5601,n2,31365600,0.357432,0.633552
5701,n2,32495700,0.367332,0.794077
5801,n2,33645800,0.390515,0.698003
5901,n2,34815900,0.406037,0.799971
6001,n2,36006000,0.412783,0.733885
6101,n2,37216100,0.439873,0.794215
6201,n2,38446200,0.440808,0.794855
6301,n2,39696300,0.473526,0.842239
6401,n2,40966400,0.527989,0.844472
6501,n2,42256500,0.484076,0.885089
6601,n2,43566600,0.51222,0.905378
6701,n2,44896700,0.554356,1.00772
6801,n2,46246800,0.568373,1.14277
6901,n2,47616900,0.487025,0.886858
7001,n2,49007000,0.560783,1.01757
7101,n2,50417100,0.603292,1.05924
7201,n2,51847200,0.747875,1.96427
7301,n2,53297300,0.672015,1.4331
7401,n2,54767400,0.58433,1.03068
7501,n2,56257500,0.579857,1.05076
7601,n2,57767600,0.595786,1.08488
7701,n2,59297700,0.610953,1.13023
7801,n2,60847800,0.627422,1.15075
7901,n2,62417900,0.662664,1.17027
8001,n2,64008000,0.657861,1.21635
8101,n2,65618100,0.677397,1.24129
8201,n2,67248200,0.696072,1.26216
8301,n2,68898300,0.710324,1.29541
8401,n2,70568400,0.726115,1.32159
8501,n2,72258500,0.743677,1.35763
8601,n2,73968600,0.760399,1.40866
8701,n2,75698700,0.780279,1.4347
8801,n2,77448800,0.807485,1.45902
8901,n2,79218900,0.81856,1.4844
9001,n2,81009000,0.837295,1.48039
9101,n2,82819100,0.835176,1.53023
9201,n2,84649200,0.851503,1.57005
9301,n2,86499300,0.87071,1.59973
9401,n2,88369400,0.898547,1.6165
9501,n2,90259500,0.925714,1.65023
9601,n2,92169600,0.930112,1.69492
9701,n2,94099700,0.950462,1.73802
9801,n2,96049800,0.968813,1.77936
9901,n2,98019900,0.990653,1.8079
10001,n2,100010000,1.0435,1.86585
