n,m_type,m_count,time_A,time_B
100,100n,10000,0.0002079,0.0002107
100,1000n,100000,0.0001462,0.0001679
600,100n,60000,0.0011167,0.0024984
600,1000n,600000,0.0040753,0.0059533
1100,100n,110000,0.0018108,0.0082296
1100,1000n,1100000,0.012053,0.0206733
1600,100n,160000,0.0027026,0.016702
1600,1000n,1600000,0.017487,0.0350019
2100,100n,210000,0.0038827,0.0267375
2100,1000n,2100000,0.0234532,0.0527567
2600,100n,260000,0.0046486,0.0411573
2600,1000n,2600000,0.0291755,0.07281
3100,100n,310000,0.005583,0.0583548
3100,1000n,3100000,0.0341525,0.0953386
3600,100n,360000,0.0065497,0.0771529
3600,1000n,3600000,0.0407906,0.12218
4100,100n,410000,0.007981,0.100368
4100,1000n,4100000,0.0459198,0.150189
4600,100n,460000,0.0102774,0.128691
4600,1000n,4600000,0.0534883,0.181776
