r,m_type,time_A,time_B
1,dense,0.0103808,0.0115824
1,sparse,0.0103987,0.0117819
21,dense,0.010493,0.0137365
21,sparse,0.0107035,0.0135673
41,dense,0.010608,0.0172689
41,sparse,0.0105576,0.0159154
61,dense,0.0105784,0.0159577
61,sparse,0.0107398,0.0151117
81,dense,0.0108163,0.0160054
81,sparse,0.0106977,0.0159244
101,dense,0.0107038,0.0155816
101,sparse,0.0106413,0.0159527
121,dense,0.0106522,0.0164454
121,sparse,0.0106994,0.0155222
141,dense,0.0110515,0.0177132
141,sparse,0.0109726,0.0165002
161,dense,0.0108318,0.0168416
161,sparse,0.0106438,0.0162136
181,dense,0.0107944,0.016472
181,sparse,0.0106814,0.0171579
