r,m_type,time_A,time_B
1,dense,0.994216,1.14791
2,dense,1.00028,1.80658
3,dense,1.01003,1.67273
4,dense,1.06023,1.52848
5,dense,1.00757,1.52945
6,dense,1.0054,1.3794
7,dense,0.99737,1.334
8,dense,0.999826,1.30653
9,dense,0.997185,1.30885
10,dense,0.995467,1.28688
11,dense,0.997947,1.27014
12,dense,1.00542,1.26611
13,dense,1.00601,1.26889
14,dense,1.00294,1.24875
15,dense,1.00209,1.23514
16,dense,1.00367,1.27344
17,dense,1.00541,1.22994
18,dense,1.00418,1.22157
19,dense,1.00503,1.21711
20,dense,1.00651,1.21291
21,dense,1.00189,1.22118
22,dense,1.00324,1.20451
23,dense,0.99703,1.20049
24,dense,1.03589,1.21894
25,dense,1.05357,1.19465
26,dense,1.04456,1.15657
27,dense,0.967256,1.15202
28,dense,0.966406,1.15039
29,dense,0.968622,1.14925
30,dense,0.96571,1.15127
31,dense,0.968124,1.14834
32,dense,0.967258,1.14222
33,dense,0.966446,1.13907
34,dense,0.969069,1.15441
35,dense,0.967177,1.14302
36,dense,0.966248,1.13837
37,dense,0.966758,1.14188
38,dense,0.969698,1.14223
39,dense,0.966295,1.13695
40,dense,0.967424,1.13832
41,dense,0.967072,1.13997
42,dense,0.966385,1.14113
43,dense,0.96617,1.14193
44,dense,0.966433,1.1413
45,dense,0.965556,1.14288
46,dense,0.968961,1.14273
47,dense,0.965849,1.14253
48,dense,0.966361,1.14933
49,dense,0.966568,1.1522
50,dense,0.966316,1.15773
51,dense,0.96819,1.16111
52,dense,0.966078,1.15742
53,dense,0.968314,1.15813
54,dense,0.965964,1.15935
55,dense,0.968487,1.18472
56,dense,0.97824,1.20126
57,dense,0.965175,1.19879
58,dense,0.969742,1.19867
59,dense,0.966332,1.23011
60,dense,0.966254,1.20213
61,dense,0.978088,1.20212
62,dense,0.966451,1.23545
63,dense,0.9668,1.21086
64,dense,0.967718,1.22711
65,dense,0.966151,1.2122
66,dense,0.966219,1.22355
67,dense,0.965595,1.22024
68,dense,0.965186,1.23126
69,dense,0.965844,1.2552
70,dense,0.967525,1.2915
71,dense,0.965534,1.23527
72,dense,0.967159,1.27845
73,dense,0.96659,1.28527
74,dense,1.00562,1.25344
75,dense,0.967868,1.3976
76,dense,0.966948,1.30097
77,dense,0.966763,1.30167
78,dense,0.969495,1.29881
79,dense,0.966088,1.34146
80,dense,0.965883,1.40704
81,dense,0.965208,1.3762
82,dense,0.968941,1.38117
83,dense,0.975957,1.43228
84,dense,0.967701,1.35755
85,dense,0.967652,1.4383
86,dense,0.967508,1.47878
87,dense,0.967856,1.44548
88,dense,0.967825,1.48973
89,dense,0.968028,1.44947
90,dense,0.967978,1.50412
91,dense,0.966647,1.41233
92,dense,0.968014,1.48764
93,dense,0.967275,1.48902
94,dense,0.967683,1.63143
95,dense,0.967728,1.53233
96,dense,0.967447,1.58901
97,dense,0.9665,1.57807
98,dense,0.967151,1.67909
99,dense,0.966359,1.55454
100,dense,0.967868,1.52568
101,dense,0.966668,1.55221
102,dense,0.966932,1.57035
103,dense,0.966762,1.53201
104,dense,0.967321,1.62029
105,dense,0.981086,1.56052
106,dense,0.967227,1.66706
107,dense,0.967668,1.70632
108,dense,0.96699,1.68117
109,dense,0.966824,1.64693
110,dense,0.966143,1.66482
111,dense,0.98129,1.6782
112,dense,0.965896,1.6608
113,dense,0.968213,1.61143
114,dense,0.968314,1.68965
115,dense,0.969412,1.67994
116,dense,0.971375,1.70568
117,dense,0.966755,1.68191
118,dense,0.967532,1.70617
119,dense,0.967608,1.66656
120,dense,0.966479,1.6958
121,dense,0.976985,1.68775
