r,m_type,time_A,time_B
1,sparse,0.103873,0.482272
2,sparse,0.105657,0.452449
3,sparse,0.103907,0.442063
4,sparse,0.104535,0.437026
5,sparse,0.114134,0.450893
6,sparse,0.104879,0.466782
7,sparse,0.104739,0.51099
8,sparse,0.105501,0.579938
9,sparse,0.106519,0.586464
10,sparse,0.105413,0.575858
11,sparse,0.105458,0.671718
12,sparse,0.106153,0.690683
13,sparse,0.106652,0.69135
14,sparse,0.106338,0.683775
15,sparse,0.106604,0.674262
16,sparse,0.106872,0.644631
17,sparse,0.106498,0.616092
18,sparse,0.105688,0.58706
19,sparse,0.106663,0.592597
20,sparse,0.107034,0.572878
21,sparse,0.10611,0.540305
22,sparse,0.10793,0.545995
23,sparse,0.105413,0.509262
24,sparse,0.106687,0.542284
25,sparse,0.105623,0.508362
26,sparse,0.100683,0.507234
27,sparse,0.100837,0.487503
28,sparse,0.100717,0.482819
29,sparse,0.100705,0.481159
30,sparse,0.100636,0.481233
31,sparse,0.100978,0.481047
32,sparse,0.101343,0.484112
33,sparse,0.101195,0.488225
34,sparse,0.100803,0.487541
35,sparse,0.101266,0.488152
36,sparse,0.101324,0.496614
37,sparse,0.101049,0.501022
38,sparse,0.101325,0.524745
39,sparse,0.10136,0.516155
40,sparse,0.101195,0.55711
41,sparse,0.102807,0.516448
42,sparse,0.102125,0.562296
43,sparse,0.101838,0.57625
44,sparse,0.101402,0.528619
45,sparse,0.101702,0.620798
46,sparse,0.101733,0.570742
47,sparse,0.101832,0.555258
48,sparse,0.101784,0.614268
49,sparse,0.102848,0.634432
50,sparse,0.104618,0.594987
51,sparse,0.101582,0.632123
52,sparse,0.101954,0.650312
53,sparse,0.102021,0.602227
54,sparse,0.101821,0.619496
55,sparse,0.101973,0.651267
56,sparse,0.102028,0.657401
57,sparse,0.101541,0.625179
58,sparse,0.10197,0.653693
59,sparse,0.103156,0.606759
60,sparse,0.102443,0.650322
61,sparse,0.101363,0.621756
62,sparse,0.101749,0.621389
63,sparse,0.105494,0.619588
64,sparse,0.101615,0.590725
65,sparse,0.101413,0.570112
66,sparse,0.103215,0.62596
67,sparse,0.101852,0.637856
68,sparse,0.101411,0.5652
69,sparse,0.103709,0.628287
70,sparse,0.101766,0.596162
71,sparse,0.101767,0.53598
72,sparse,0.101797,0.552761
73,sparse,0.101492,0.591001
74,sparse,0.101891,0.592906
75,sparse,0.101788,0.608576
76,sparse,0.101747,0.558341
77,sparse,0.103131,0.557089
78,sparse,0.101746,0.547089
79,sparse,0.10183,0.547884
80,sparse,0.101736,0.549472
81,sparse,0.102031,0.56605
82,sparse,0.10221,0.561502
83,sparse,0.101885,0.563109
84,sparse,0.102096,0.557994
85,sparse,0.103302,0.556315
86,sparse,0.102196,0.557118
87,sparse,0.101693,0.557907
88,sparse,0.101732,0.553692
